LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,
,.,const,ident,=,number,comma,;,var,procedure,:=,call,?,!,begin,end,if,then,while,do,odd,#,<,<=,>,>=,+,-,*,/,(,),$,program,block,const_declaration,const_declaration_list,var_declaration,var_declaration_list,proceduret,statement,statement_tail,condition,expression,term,factor
0,r3,s3,r3, , , , ,r3,r3, ,r3,r3,r3,r3, ,r3, ,r3, , , , , , , , , , , , , , , ,1,2, , , , , , , , , , 
1,s4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,r7, ,r7, , , , ,s6,r7, ,r7,r7,r7,r7, ,r7, ,r7, , , , , , , , , , , , , , , , , , ,5, , , , , , , , 
3, , ,s7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acct, , , , , , , , , , , , , 
5,r11, ,r11, , , , , ,r11, ,r11,r11,r11,r11, ,r11, ,r11, , , , , , , , , , , , , , , , , , , , ,8, , , , , , 
6, , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , ,s10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,r19, ,s13, , , , , ,s12, ,s14,s15,s16,s17, ,s18, ,s19, , , , , , , , , , , , , , , , , , , , , ,11, , , , , 
9, , , , , ,s21,s22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , , , , , , 
10, , , , ,s23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12, , ,s24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , ,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , ,s26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , ,s27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , ,s33, ,s34, , , , , , , , , , , , , , , , , , , , ,s29,s30, , ,s35, , , , , , , , , , , , ,28,31,32
17,r19, ,s37, , , ,r19, , , ,s38,s39,s40,s41,r19,s42, ,s43, , , , , , , , , , , , , , , , , , , , , ,36, , , , , 
18, , ,s51, ,s52, , , , , , , , , , , , , , ,s45, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,44,46,49,50
19, , ,s51, ,s52, , , , , , , , , , , , , , ,s55, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,54,56,49,50
20,r6, ,r6, , , , , ,r6, ,r6,r6,r6,r6, ,r6, ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , ,s57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,r9, ,r9, , , , , ,r9, ,r9,r9,r9,r9, ,r9, ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , ,s59,s60, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58, , , , , , , , , 
24, , , , , , ,s61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , ,s33, ,s34, , , , , , , , , , , , , , , , , , , , ,s29,s30, , ,s35, , , , , , , , , , , , ,62,31,32
26,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29, , ,s65, ,s66, , , , , , , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , ,63,64
30, , ,s65, ,s66, , , , , , , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , ,68,64
31,r33, , , , , , , , , , , , , , , , , , , , , , , , ,s69,s70, , , , , , , , , , , , , , , , , , 
32,r34, , , , , , , , , , , , , , , , , , , , , , , , ,r34,r34,s71,s72, , , , , , , , , , , , , , , , 
33,r37, , , , , , , , , , , , , , , , , , , , , , , , ,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
34,r38, , , , , , , , , , , , , , , , , , , , , , , , ,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
35, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,73,76,77
36, , , , , , ,r21, , , , , , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , ,81, , , , 
37, , , , , , , , , ,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38, , ,s83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39, , ,s84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40, , ,s90, ,s91, , , , , , , , , , , , , , , , , , , , ,s86,s87, , ,s92, , , , , , , , , , , , ,85,88,89
41,r19, ,s37, , , ,r19, , , ,s38,s39,s40,s41,r19,s42, ,s43, , , , , , , , , , , , , , , , , , , , , ,93, , , , , 
42, , ,s51, ,s52, , , , , , , , , , , , , , ,s45, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,94,46,49,50
43, , ,s51, ,s52, , , , , , , , , , , , , , ,s55, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,95,56,49,50
44, , , , , , , , , , , , , , , , ,s96, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , ,s98,s99, , ,s104, , , , , , , , , , , , ,97,100,101
46, , , ,s105, , , , , , , , , , , , , , , , ,s106,s107,s108,s109,s110, , , , , , , , , , , , , , , , , , , , 
47, , ,s113, ,s114, , , , , , , , , , , , , , , , , , , , , , , , ,s115, , , , , , , , , , , , , ,111,112
48, , ,s113, ,s114, , , , , , , , , , , , , , , , , , , , , , , , ,s115, , , , , , , , , , , , , ,116,112
49, , , ,r33, , , , , , , , , , , , , , , , ,r33,r33,r33,r33,r33,s117,s118, , , , , , , , , , , , , , , , , , 
50, , , ,r34, , , , , , , , , , , , , , , , ,r34,r34,r34,r34,r34,r34,r34,s119,s120, , , , , , , , , , , , , , , , 
51, , , ,r37, , , , , , , , , , , , , , , , ,r37,r37,r37,r37,r37,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
52, , , ,r38, , , , , , , , , , , , , , , , ,r38,r38,r38,r38,r38,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
53, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,121,76,77
54, , , , , , , , , , , , , , , , , , ,s122, , , , , , , , , , , , , , , , , , , , , , , , , , 
55, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,123,126,127
